coguk_id
ALDP-29261B7
ALDP-29261C6
MILK-29350F4
MILK-29355C8
MILK-293B79F
ALDP-293017E
MILK-29718E5
MILK-29750BC
QEUH-296A4DC
MILK-297B58A
MILK-297EA5B
MILK-2973476
QEUH-29B7E5A
MILK-29E223C
QEUH-29B8CE6
ALDP-29F420A
MILK-2A086AC
QEUH-29F21B4
MILK-29F9E01
MILK-2A1E45E
QEUH-2A34276
MILK-2A6B188
MILK-2A84417
MILK-2AA7B82
MILK-2A8ECAC
ALDP-2B26A23
MILK-2B40D39
MILK-2B5EDFC
MILK-2B678D1
ALDP-2B4DF63
MILK-2B87D45
MILK-2B95A89
MILK-2B6332F
MILK-2BD06F7
MILK-2B81A44
MILK-2BBB49E
MILK-2BF4675
MILK-2BF501C
MILK-2BF3685
MILK-2BD889F
MILK-2BD8A02
MILK-2BE8E12
ALDP-2BEB0A0
MILK-2BFA85B
MILK-2BFA9C1
MILK-2C0B874
MILK-2C066E8
MILK-2C0F843
MILK-2C0F834
MILK-2C17945
MILK-2C1B307
MILK-2C1B501
MILK-2C1EEB8
MILK-2C1EFF1
MILK-2C1F989
MILK-2C1F02A
MILK-2C1EEE5
MILK-2C1F066
MILK-2C1C870
ALDP-2C1D48A
MILK-2C27A9A
MILK-2C27CEF
ALDP-2C348DC
ALDP-2C33BC5
ALDP-2C33B7A
MILK-2BFB6AB
MILK-2BFB5F9
MILK-2BFB544
MILK-2BDBEB8
MILK-2BDBDCA
MILK-2BD9BA4
MILK-2C299AA
ALDP-2C29F02
MILK-2C2BBEE
ALDP-2C47690
MILK-2C45DF7
MILK-2C4403B
MILK-2C41CEF
MILK-2C41D37
MILK-2C43E6F
MILK-2C4A563
MILK-2C48FFE
MILK-2C48F67
MILK-2C4F294
MILK-2C4F2D0
MILK-2C49063
MILK-2C620EC
MILK-2C532E8
MILK-2C69C96
MILK-2C6725A
MILK-2C674AF
MILK-2C66E0C
MILK-2C69D39
MILK-2C67050
MILK-2C69E63
MILK-2C6764F
MILK-2C67481
MILK-2C66F63
